id,value
question_34,Let's have some workshops or tutorial sessions to cover in depth
question_34,R 사용자 활성화 방안을 자유롭게 토론하는 시간 있으면 함
question_34,R로 데이터분석외에 데이터파이프라인 사례도 첨가해주세요
question_34,가벼운 주제로 실시간 토론이라던가 r사용기를 공유하는 등 여러 사람들이 축제처럼 즐길 수 있는 그런 콘텐츠들이 추가된다면 더 많은 사람들이 관심을 갖지 않을까 생각합니다
question_34,감사합니다
question_34,같은 시간대에 2개이상 듣고 싶은 내용은 추후 녹화영상제공
question_34,"기초, 응용, 데이터 분석 카데고리를 나누어서 학습자의 수준에 맞게 스케줄내용 정리해주시면 좋을 것 같습니다."
question_34,꼭 개최되었으면 합니다
question_34,내년에는 대면과 비대면 동시에 열렸으면 좋겠습니다.
question_34,다양하고 깊은 내용이면 좋겠습니다
question_34,"다양한 예시, 복잡계 학회와 연계"
question_34,더 다양한 사레를 다뤄줬으면
question_34,데이터 분석 직무로 취업을 준비하고 있기 때문에 R을 활용하고 있는 다양한 분야의 이야기를 접할 수 있는 시간이었으면 좋겠습니다. 오늘 세션 모두 잘 들었습니다:)
question_34,도메인 별로 종사자의 경험을 듣고 싶어요
question_34,딥러닝등 좀 더 심화적인 내용
question_34,"만일 오프라인으로 진행하게 되면 2일의 기간, Hands-on Lab 시간이 있었으면 좋겠습니다."
question_34,무료로진행되면 좋을거같아요
question_34,발표주제를 계속 다양하게 발굴해주세요
question_34,분야별로 세션이 나누어져 있으면 좋겠습니다.
question_34,"산업분야별, 데이터 분석 스텝별, 실제 사례 발표 세션이 있었으면 좋겠습니다."
question_34,수고하셨습니다-
question_34,"실무 컨퍼런스이지만 내용이 더 전문화, 세분화되면 좋겠습니다."
question_34,실무에 적용가능한 다양한 정보 공유가 되었으면 좋겠습니다.
question_34,실습을 같이 진행해보는 세션이 있으면 좋겠음.
question_34,실용적으로 사용하는 부분에서 부족함을 느끼는 사용자들을 위한 워크샵이 있다면 더 좋을 것 같습니다.
question_34,실제 기업 사용 사례를 좀더 살펴보면 좋을것 같습니다. 학계에 머무르다 보니 현업에서 많이 사용한다고 이야기만 들었는데 실제 기업기반에서 어떻게 도입하고 어떤식으로 적용하고 있는지 사례를 좀더 살펴보고 싶습니다
question_34,없음
question_34,없음
question_34,여전히 R프로그램이 산업과 공공의 실무 전반에 파급되는데 미진한 측면이 많이 있습니다. 하지만 또 넓게 보면 각자의 영역에서 알게 모르게 R을 고도로 적용시켜 혼자만 사용하시는 고수분들도 많이 숨어있으리라 생각합니다. 그런 분들을 끌어내고 함께 더 교류하고 노하우를 공유하기 위해 새로운 분들을 적극적으로 포섭하고 발굴해서 발표자로 세우고 직접적인 활용사례를 보면서 배울 수 있으면 좋겠습니다. 그리고 발표 끝에 R프로그램의 미래라는 주제로 연사분들과 청중이 자유롭게 토론하는 시간이 1시간에서 1시간반정도 있다면 네트워크는 물론 서로 의기투합할수 있는 좋은 기회가 되리라 생각합니다.
question_34,오프라인에서 개최하면 훨씬 더 집중도 있고 재밌게 들을 수 있을 것 같습니다!ㅎㅎ
question_34,오프라인으로 현업종사자들과 만나는 자리를 가지고싶다
question_34,온라인이 가능한 것이 유지되었으면 합니다
question_34,"온오프라인 모두 가능한 컨퍼런스이길 바라며, 다방향으로 커뮤니케이션이 가능한 컨퍼런스이길 기대함"
question_34,워크샵 세션으로 머리만이 아닌 손으로도 남길 수 있으면 좋을 것 같습니다.
question_34,이번 컨퍼런스도 많은 분들의 고생과 노력으로 성공적으로 잘 끝났다고 생각합니다. 과거 오프라인 컨퍼런스에서의 현장감과 상호 커뮤니케이션은 다소 아쉬었지만 최근 트렌드와 실무에서 도움이 될 수 있는 주제들이 잘 다루어졌다고 생각합니다. 향후 컨퍼런스에서는 유료로 일부 진행이 되더라도 더 많은 세션이 다루어지면 좋을 것 같습니다. 2일정도에 걸쳐 진행이 되어도 좋을 것 같습니다😄
question_34,이번처럼 좋은 강사진구성이 필요함
question_34,잘 몰라서요. 개최해주시면 배우는 자세로 참석하겠습니다.
question_34,좀더 다양한 트랙이 있으면 좋을것같습니다
question_34,컨퍼런스 전 R에 대해서 조금 더 공부할 수 있는 기회를 많이 열어주셨으면 좋겠습니다.
question_34,해외 전문가의 세션이 많았으면 좋겠습니다
question_34,홍보가 빨리 이루어졌으면 한다
